competitor,total_mentions,queries_mentioned,engines_count,engines_list,average_position,positive_mentions,negative_mentions,neutral_mentions,sentiment_ratio
eltamd,146,146,3,"openai, google, anthropic",11.34,63,11,129,0.43
supergoop,87,87,3,"openai, google, anthropic",17.0,5,1,116,0.06
cerave,79,79,3,"openai, google, anthropic",15.23,23,5,71,0.29
blue lizard,71,71,3,"openai, google, anthropic",15.96,21,2,66,0.3
neutrogena,54,54,3,"openai, google, anthropic",18.23,14,9,73,0.26
badger,45,45,3,"openai, google, anthropic",14.24,1,45,12,0.02
thinkbaby,38,38,3,"openai, google, anthropic",17.29,17,1,27,0.45
coola,29,29,3,"openai, google, anthropic",17.61,11,2,28,0.38
thinksport,28,28,3,"openai, google, anthropic",15.76,7,3,23,0.25
aveeno,16,16,2,"openai, google",24.42,6,0,18,0.38
sun bum,15,15,3,"openai, google, anthropic",20.73,1,0,14,0.07
all good,10,10,3,"openai, google, anthropic",21.42,0,1,11,0.0
bare republic,6,6,3,"openai, google, anthropic",14.5,0,0,6,0.0
stream2sea,2,2,2,"openai, google",28.0,0,0,3,0.0
drunk elephant,2,2,1,google,28.5,0,0,2,0.0
alba botanica,2,2,1,openai,16.5,1,0,1,0.5
goddess garden,1,1,1,openai,26.5,0,0,2,0.0
coppertone,1,1,1,anthropic,7.0,0,1,0,0.0
